date,brand,category,product,media_channel,geography,geography_breakdown,format,publisher,campaign,funnel_stage,spend,reach,impressions,currency_code
13/11/2023,Time,FTTR,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor",Mobile Interstitial (Display),ADBRO,TIME Giga Speed Home,Awareness,4518.97096,120711,213764,MYR
20/11/2023,Time,FTTR,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor",Mobile Interstitial (Display),ADBRO,TIME Giga Speed Home,Awareness,11299.37228,342795,534502,MYR
27/11/2023,Time,FTTR,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor",Mobile Interstitial (Display),ADBRO,TIME Giga Speed Home,Awareness,9089.84062,288657,429983,MYR
4/12/2023,Time,FTTR,All Home Fibre Speeds,Digital,Malaysia,-,Article,"KL Gadget Guy, Zul Yusmar",TIME Dec23 B2C FTTR,Awareness,10795,633513,38520,MYR
15/1/2024,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,5824.687345,0,222845,MYR
22/1/2024,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,5806.913613,0,222165,MYR
29/1/2024,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,10778.35725,0,412366,MYR
5/2/2024,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,5465.318159,0,209096,MYR
5/2/2024,Time,FTTH,All Home Fibre Speeds,TV,Malaysia,Nationwide,TV Ad,Astro Channels,CNY 2024,Awareness,48750,0,0,MYR
12/2/2024,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,5533.171996,0,211692,MYR
12/2/2024,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,3795.97262,140315,145229,MYR
12/2/2024,Time,FTTH,All Home Fibre Speeds,TV,Malaysia,Nationwide,TV Ad,Astro Channels,CNY 2024,Awareness,48750,0,0,MYR
19/2/2024,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,5295.579015,0,202602,MYR
19/2/2024,Time,FTTH,All Home Fibre Speeds,TV,Malaysia,Nationwide,TV Ad,Astro Channels,CNY 2024,Awareness,48750,0,0,MYR
26/2/2024,Time,FTTH,All Home Fibre Speeds,TV,Malaysia,Nationwide,TV Ad,Astro Channels,CNY 2024,Awareness,48750,0,0,MYR
4/3/2024,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,MIX FM,CNY 2024,Awareness,1250,0,0,MYR
11/3/2024,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,MIX FM,CNY 2024,Awareness,1250,0,0,MYR
18/3/2024,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,MIX FM,CNY 2024,Awareness,1250,0,0,MYR
25/3/2024,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,MIX FM,CNY 2024,Awareness,1250,0,0,MYR
29/4/2024,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,Network Superiority,Awareness,19740,0,0,MYR
29/4/2024,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,-,Article,Newswav,Time B2C Raya2024,Awareness,10000,209701,10901,MYR
6/5/2024,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,Network Superiority,Awareness,38310,0,0,MYR
6/5/2024,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,-,Social Media Posting,"Newswav, Siakap Keli Press",Time B2C Raya2024,Awareness,10000,286874,0,MYR
13/5/2024,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,Network Superiority,Awareness,38310,0,0,MYR
20/5/2024,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,Network Superiority,Awareness,38310,0,0,MYR
27/5/2024,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,Network Superiority,Awareness,38310,0,0,MYR
