No,Channel,Date,Title,category,product,Media Name,Link URL,Sentiment,brand,company,metric_name,metric_value
24,Printmedia,2024-11-01,"Bank Islam: This year will be a good year for the Malaysia stock market, with the KLCI expected to reach 1,720 points",All Categories,All products,Nanyang Siang Pau,https://dxtan-cdn.dxt360.app/202404031406/3d7c3669e1c0b63aa91e25d48ad9283c/broadcast/media/NAMA/202401/37169162.JPG,neutral,Time,Time,Ad Value,2289.0
25,Online Media,2024-01-16,Telecommunications - Not a Clear Line,All Categories,All products,I3INVESTOR,https://klse1.i3investor.com/blogs/rhbinvest/2024-01-16-story-h-210463272-Telecommunications_Not_a_Clear_Line.jsp,positive,Time,Time,Ad Value,1000.0
26,Online Media,2024-01-16,Telecommunications - Not a Clear Line,All Categories,All products,I3INVESTOR MY,https://klse.i3investor.com/web/blog/detail/rhbinvest/2024-01-16-story-h-210463272-Telecommunications_Not_a_Clear_Line,positive,Time,Time,Ad Value,8400.0
27,Online Media,2024-01-16,"Insider Moves: Minetech Resources Bhd, Jiankun International Bhd, Frontken Corp Bhd, CCK Consolidat","Enterprise, Wholesale, or Public Sector",Enterprise products,THE EDGE,https://www.theedgemalaysia.com/node/696742,positive,Time,Time,Ad Value,2000.0
28,Online Media,2024-01-16,"Insider Moves: Minetech Resources Bhd, Jiankun International Bhd, Frontken Corp Bhd, CCK Consolidat","Enterprise, Wholesale, or Public Sector",Enterprise products,NEWSWAV.COM,https://newswav.com/article/insider-moves-minetech-resources-bhd-jiankun-international-bhd-frontken-cor-A2401_VFIAgS,positive,Time,Time,Ad Value,2000.0
29,Online Media,2024-01-16,"Insider Moves: Minetech Resources Bhd, Jiankun International Bhd, Frontken Corp Bhd, CCK Consolidat","Enterprise, Wholesale, or Public Sector",Enterprise products,KLSE SCREENER,https://www.klsescreener.com/v2/news/view/1263523/insider-moves-minetech-resources-bhd-jiankun-international-bhd-frontken-corp-bhd-cck-consolidated-holdings-bhd-eden-inc-bhd-time-dotcom-bhd,positive,Time,Time,Ad Value,1600.0
30,Online Media,2024-01-16,"Insider Moves: Minetech Resources Bhd, Jiankun International Bhd, Frontken Corp Bhd, CCK Consolidat","Enterprise, Wholesale, or Public Sector",Enterprise products,KLSE SCREENER,https://www.klsescreener.com/v2/news/view/1263523/Insider_Moves_Minetech_Resources_Bhd_Jiankun_International_Bhd_Frontken_Corp_Bhd_CCK_Consolidated_Holdings_Bhd_Eden_Inc_Bhd_TIME_dotCom_Bhd,positive,Time,Time,Ad Value,1600.0
31,Online Media,2024-01-16,"Insider Moves: Minetech Resources Bhd, Jiankun International Bhd, Frontken Corp Bhd, CCK Consolidat","Enterprise, Wholesale, or Public Sector",Enterprise products,MSN.COM MALAY,https://www.msn.com/en-my/money/topstories/insider-moves-minetech-resources-bhd-jiankun-international-bhd-frontken-corp-bhd-cck-consolidated-holdings-bhd-eden-inc-bhd-time-dotcom-bhd/ar-AA1n2kHT,positive,Time,Time,Ad Value,5600.0
32,Online Media,2024-01-16,"Telecommunications – No Clear Line, RHB Stays On Neutral",All Categories,All products,BUSINESS TODAY MY,https://www.businesstoday.com.my/2024/01/16/telecommunications-no-clear-line-rhb-stays-on-neutral/,positive,Time,Time,Ad Value,2000.0
33,Online Media,2024-01-25,Blog: Mplus Market Pulse - 8 Nov 2021,All Categories,All products,I3INVESTOR,https://klse1.i3investor.com/servlets/forum/600623460.jsp,positive,Time,Time,Ad Value,1000.0
