No,Date,PIC,Business Unit,Projects/Events,Venue,Start Date,End Date
26.0,2024-07-25 00:00:00,Kenny,Wholesale,IDNOG 2024 ,"Jakarta, Indonesia",2024-07-25,2024-07-25
27.0,26 - 28 July,Mimi,Consumer,Megahome Southkey Johor,"MidValley Southkey, Johor",2024-07-26,2024-07-28
28.0,2024-08-07 00:00:00,Isra,Enterprise & Wholesale,Time to Ace | Golf Tournament 2024,KLGCC,2024-08-07,2024-08-07
29.0,23 - 25 Aug ,Mimi,Consumer,"Hyperlocal - Phase 2 , Bandar Seri Iskandar ",Bandar Seri Iskandar Perak,2024-08-23,2024-08-25
30.0,27 - 30 Aug,Kenny,Wholesale,BATIC 2024,Bali,2024-08-27,2024-08-30
31.0,2024-08-31 00:00:00,Kenny,Regulatory,Time x Hari Merdeka,Dataran Putrajaya,2024-08-31,2024-08-31
33.0,2 - 6 Sept,Kenny,Wholesale,ACC 2024,"Cebu, PH",2024-09-02,2024-09-06
34.0,7 Sept,Mimi,Consumer,Kabel Besar Day (In Building Activation) - Klang Valley,Klang Valley,2024-09-07,2024-09-07
35.0,11 Sept,Fairus,Enterprise & Public Sector,VMware Customer Conversion : Pathways to Progress with Time Cloud,"Grand Salon 1 & 2, Grand Hyatt",2024-09-11,2024-09-11
36.0,12 Sept,Fairus,Public Sector,CXO Roundtable Discussion - Sarawak State Gov,Sarawak,2024-09-12,2024-09-12
37.0,14 - 16 Sept,Mimi,Consumer,Megahome Ipoh,Ipoh Convention Centre (ICC),2024-09-14,2024-09-16
38.0,18 - 19 Sept,Fairus,Public Sector,ICT4U 2.0 Conferene,Park Royal Hotel Penang,2024-09-18,2024-09-19
39.0,24 Sept,Fairus,Enterprise,CXO Roundtable Discussion - BFSI,"Four Seasons Hotel, KL",2024-09-24,2024-09-24
40.0,25 & 26 Sept,Kenny,Wholesale,Submarine Network World (SG) ,Singapore,2024-09-25,2024-09-25
41.0,25 - 27 Sept,Fairus,Enterprise,Oil & Gas Asia 2024,Kuala Lumpur Convention Centre,2024-09-25,2024-09-27
32.0,1 Sept,Kenny,Wholesale,GLF Membership Renewal (Due date: 8 Oct 2024),-,2024-09-01,2024-09-01
44.0,8 - 10 Oct,Kenny,Subsea,APG O&MSC#17 Meeting,"ParkRoyal Hotel, Langkawi",2024-10-08,2024-10-10
42.0,9/10 Oct,Jason,SME,Time x Fortinet Physical Showcase (Location 1),TBC/Fortinet office,2024-10-09,2024-10-09
45.0,2024-10-10 00:00:00,Fairus,Enterprise,Bursa Bull Charge 2024,Bursa Malaysia,2024-10-10,2024-10-10
46.0,23/24 Oct,Jason,SME,Time x Fortinet Physical Showcase (Location 2),TBC Hotel/Zus coffee location,2024-10-23,2024-10-23
47.0,15 - 17 Oct,Kenny,Wholesale,Capacity Europe,"The O2, London",2024-10-15,2024-10-17
48.0,17 - 20 Oct,Mimi/Isra,Consumer,Kabel Besar Lebih Besar (Activations),"Town Park, MyTown",2024-10-17,2024-10-20
49.0,2024-10-20 00:00:00,Kenny,Wholesale,KHNOG-6,"Sunway Hotel, Phnom Penh, Cambodia",2024-10-20,2024-10-20
50.0,31 Oct - 3 Nov,Mimi,Consumer,Megahome Spice Penang,"Spice Arena, Penang",2024-10-31,2024-11-03
51.0,2 - 3 Nov,Mimi,Consumer ,Sneakerlah 2024,MITEC KL,2024-11-02,2024-11-03
52.0,6 - 7 Nov,Kenny,AIMS,Peering Asia 6.0,"Jakarta, Indonesia",2024-11-06,2024-11-07
